Location,Area,Bedrooms,Bathrooms,Floors,Property_Age,Parking,Kitchen,Balcony,Furnishing,Property_Type,Construction_Quality,Price
Pune,1884,2,4,4,24,Yes,No,2,Fully Furnished,Plot,High,18908000.0
Chennai,1897,3,3,1,28,Yes,Yes,2,Unfurnished,Independent House,Low,16682000.0
Srikakulam,1053,3,2,3,17,Yes,Yes,3,Semi Furnished,Plot,High,5770000.0
Ongole,2850,3,3,3,29,No,Yes,3,Fully Furnished,Plot,Medium,12704000.0
Delhi,1769,3,4,4,19,No,Yes,3,Unfurnished,Independent House,Low,20161000.0
Kadapa,1760,5,1,3,21,Yes,Yes,3,Semi Furnished,Villa,Low,12947000.0
Vijayawada,684,4,4,4,13,Yes,Yes,1,Fully Furnished,Villa,Medium,10157000.0
Delhi,2910,4,4,1,2,Yes,Yes,1,Fully Furnished,Plot,Low,28688000.0
Anantapur,4931,2,3,4,27,Yes,No,3,Unfurnished,Apartment,Low,21651000.0
Bengaluru,2709,1,1,1,25,Yes,Yes,3,Semi Furnished,Apartment,Low,26412000.0
Kadapa,4172,2,1,4,29,Yes,Yes,0,Unfurnished,Apartment,Low,16549000.0
Delhi,2381,2,3,3,25,Yes,Yes,3,Fully Furnished,Plot,Medium,23107000.0
Srikakulam,4796,2,2,1,6,No,Yes,3,Unfurnished,Apartment,Low,21087000.0
Kurnool,1021,2,1,3,6,No,Yes,2,Unfurnished,Apartment,Low,5231000.0
Hyderabad,2387,4,1,1,30,No,Yes,1,Semi Furnished,Villa,Low,28461000.0
Mumbai,3052,1,3,4,4,Yes,Yes,3,Semi Furnished,Plot,High,40094000.0
Delhi,4309,2,2,4,2,Yes,Yes,1,Fully Furnished,Villa,High,96966000.0
Ongole,4655,4,2,4,17,Yes,Yes,1,Semi Furnished,Independent House,Medium,30031000.0
Rajahmundry,4916,2,4,2,14,Yes,Yes,0,Unfurnished,Villa,Medium,36232000.0
Delhi,3979,3,4,2,30,Yes,Yes,1,Fully Furnished,Plot,Medium,39500000.0
Guntur,1909,2,3,1,19,Yes,Yes,1,Semi Furnished,Apartment,Low,11524000.0
Rajahmundry,2194,2,2,2,13,Yes,Yes,3,Unfurnished,Plot,High,11108000.0
Kurnool,1026,5,3,4,30,No,Yes,2,Unfurnished,Villa,High,9261000.0
Nellore,3160,3,4,2,28,No,No,3,Fully Furnished,Plot,Medium,16232000.0
Bengaluru,2672,1,3,2,3,Yes,Yes,3,Fully Furnished,Plot,High,30398000.0
Bengaluru,779,2,3,3,26,Yes,Yes,2,Semi Furnished,Villa,Medium,11735000.0
Vijayawada,3464,1,1,1,23,Yes,Yes,2,Semi Furnished,Villa,Low,30160000.0
Guntur,4477,3,1,1,7,Yes,Yes,0,Semi Furnished,Independent House,High,37872000.0
Kadapa,3169,2,1,1,28,Yes,Yes,2,Semi Furnished,Independent House,Low,15418000.0
Ongole,3393,5,4,2,20,No,Yes,3,Fully Furnished,Villa,Low,27444000.0
Delhi,2251,4,3,4,12,Yes,Yes,2,Unfurnished,Plot,High,23303000.0
Delhi,4481,5,1,3,21,Yes,Yes,2,Unfurnished,Villa,Medium,68153000.0
Pune,2861,5,1,1,7,Yes,Yes,2,Semi Furnished,Apartment,High,36885000.0
Rajahmundry,4927,4,1,2,14,Yes,Yes,1,Fully Furnished,Independent House,Low,32699000.0
Bengaluru,4631,4,4,4,16,Yes,Yes,0,Semi Furnished,Apartment,Medium,53805000.0
Rajahmundry,2208,4,4,3,4,No,Yes,1,Semi Furnished,Plot,Low,10703000.0
Pune,3186,2,3,3,19,Yes,Yes,1,Fully Furnished,Apartment,Medium,37631000.0
Srikakulam,3395,1,3,1,3,Yes,Yes,0,Unfurnished,Villa,High,26187000.0
Rajahmundry,3276,1,3,1,10,No,Yes,1,Unfurnished,Villa,Low,22506000.0
Chennai,1619,4,1,4,17,Yes,Yes,2,Semi Furnished,Villa,Medium,22577000.0
Tirupati,3488,5,2,2,9,Yes,Yes,0,Fully Furnished,Apartment,Medium,30169000.0
Guntur,4759,3,4,4,16,Yes,Yes,1,Unfurnished,Apartment,High,34954000.0
Guntur,4743,4,1,1,29,No,Yes,3,Unfurnished,Apartment,Medium,27425000.0
Mumbai,694,5,1,4,14,Yes,Yes,1,Fully Furnished,Villa,Medium,17702000.0
Chennai,1162,5,3,2,5,Yes,Yes,3,Fully Furnished,Villa,Low,18224000.0
Mumbai,979,2,3,3,22,No,Yes,2,Unfurnished,Villa,High,21366000.0
Nellore,4718,2,1,3,20,No,No,3,Semi Furnished,Apartment,High,34261000.0
Kakinada,1923,1,4,3,15,Yes,Yes,1,Semi Furnished,Apartment,Low,11750000.0
Vijayawada,3208,1,4,3,14,No,Yes,1,Unfurnished,Plot,Low,15177000.0
Delhi,3675,3,1,1,7,Yes,Yes,1,Semi Furnished,Independent House,Low,44934000.0
Kurnool,4314,3,2,1,8,Yes,Yes,0,Semi Furnished,Villa,Medium,33176000.0
Kakinada,2514,3,2,2,10,Yes,Yes,0,Fully Furnished,Apartment,High,22817000.0
Guntur,4289,3,4,2,26,Yes,Yes,1,Fully Furnished,Independent House,High,40532000.0
Kakinada,2943,5,3,2,1,Yes,Yes,1,Fully Furnished,Apartment,High,27880000.0
Mumbai,1411,5,2,2,26,No,Yes,2,Semi Furnished,Apartment,Medium,21663000.0
Hyderabad,3713,1,2,4,12,Yes,Yes,0,Fully Furnished,Villa,High,67524000.0
Kakinada,2864,2,3,2,3,Yes,Yes,0,Fully Furnished,Independent House,High,27937000.0
Hyderabad,4129,2,2,3,26,Yes,Yes,0,Unfurnished,Apartment,High,43833000.0
Kakinada,3972,4,1,3,8,No,Yes,3,Fully Furnished,Independent House,High,37510000.0
Kadapa,1180,5,2,3,4,No,Yes,1,Unfurnished,Independent House,Low,8251000.0
Tirupati,1109,3,3,4,18,Yes,No,2,Semi Furnished,Villa,Medium,11743000.0
Vijayawada,2656,3,1,2,21,No,Yes,2,Fully Furnished,Independent House,High,27941000.0
Kurnool,4366,4,2,3,30,Yes,Yes,1,Unfurnished,Plot,High,18502000.0
Chennai,871,2,4,3,2,Yes,Yes,1,Unfurnished,Plot,High,8944000.0
Tirupati,1115,3,1,3,29,No,Yes,2,Unfurnished,Villa,High,10918000.0
Kurnool,2753,2,1,3,20,Yes,Yes,3,Semi Furnished,Villa,High,24731000.0
Kurnool,4638,4,4,1,2,No,Yes,2,Fully Furnished,Plot,Low,21105000.0
Vijayawada,1364,2,4,2,5,Yes,Yes,3,Semi Furnished,Villa,Low,14505000.0
Delhi,1768,2,2,2,27,Yes,No,3,Unfurnished,Independent House,Medium,20488000.0
Hyderabad,1284,2,2,4,9,No,Yes,0,Semi Furnished,Apartment,Medium,13988000.0
Kakinada,4678,3,3,1,4,No,Yes,1,Semi Furnished,Villa,High,48929000.0
Hyderabad,2737,1,3,4,29,Yes,Yes,0,Unfurnished,Plot,High,20199000.0
Kadapa,4554,5,1,3,24,Yes,Yes,3,Fully Furnished,Apartment,Low,25064000.0
Guntur,1435,2,4,4,2,No,Yes,2,Fully Furnished,Independent House,Medium,13630000.0
Anantapur,4480,2,4,3,21,Yes,Yes,0,Semi Furnished,Apartment,High,29195000.0
Bengaluru,2838,2,3,3,23,No,Yes,2,Fully Furnished,Plot,High,31170000.0
Guntur,825,1,1,2,6,No,Yes,3,Unfurnished,Apartment,High,6470000.0
Srikakulam,2034,4,1,2,21,Yes,Yes,2,Fully Furnished,Plot,Medium,8990000.0
Anantapur,3980,3,3,2,29,Yes,Yes,0,Semi Furnished,Villa,Low,25471000.0
Bengaluru,4361,1,3,2,30,Yes,Yes,3,Unfurnished,Villa,Low,53900000.0
Guntur,2485,2,3,2,17,Yes,Yes,1,Unfurnished,Plot,High,13088000.0
Pune,3278,1,2,1,30,No,Yes,0,Unfurnished,Villa,High,47565000.0
Pune,1770,1,1,2,22,No,Yes,0,Semi Furnished,Independent House,High,22193000.0
Visakhapatnam,1140,1,1,4,7,Yes,Yes,1,Semi Furnished,Apartment,High,11353000.0
Srikakulam,4578,4,1,3,0,Yes,Yes,3,Fully Furnished,Plot,High,24922000.0
Kurnool,1867,5,3,2,30,Yes,Yes,1,Semi Furnished,Plot,Medium,8163000.0
Kadapa,4542,3,3,1,24,Yes,Yes,0,Unfurnished,Plot,Low,13911000.0
Visakhapatnam,3075,4,3,4,3,Yes,Yes,3,Semi Furnished,Independent House,Medium,30196000.0
Rajahmundry,4103,4,3,4,23,Yes,Yes,2,Semi Furnished,Independent House,Medium,27311000.0
Chennai,2081,5,4,3,30,Yes,No,0,Fully Furnished,Independent House,High,29949000.0
Chennai,2486,4,3,4,25,No,Yes,2,Unfurnished,Plot,Medium,16797000.0
Ongole,2740,1,2,4,6,Yes,Yes,1,Fully Furnished,Independent House,Low,18659000.0
Vijayawada,4466,1,4,4,13,No,Yes,3,Fully Furnished,Villa,High,60665000.0
Chennai,2605,2,4,4,12,No,Yes,1,Fully Furnished,Apartment,Low,27317000.0
Kakinada,628,4,3,1,9,Yes,Yes,2,Unfurnished,Villa,Medium,6470000.0
Visakhapatnam,4496,2,1,3,22,Yes,Yes,0,Fully Furnished,Villa,High,65056000.0
Rajahmundry,1351,3,3,2,17,Yes,Yes,3,Unfurnished,Independent House,Low,8478000.0
Mumbai,4603,1,1,4,0,Yes,Yes,1,Fully Furnished,Plot,Low,51649000.0
Vijayawada,2576,3,3,1,3,No,Yes,2,Fully Furnished,Villa,High,35976000.0
Kurnool,3494,5,3,3,27,Yes,Yes,2,Unfurnished,Apartment,Low,16697000.0
Srikakulam,4244,1,1,2,15,Yes,Yes,0,Semi Furnished,Independent House,High,27172000.0
Nellore,3256,3,1,3,15,Yes,Yes,2,Fully Furnished,Villa,High,36047000.0
Vijayawada,2144,5,1,1,17,No,Yes,3,Semi Furnished,Independent House,Medium,17886000.0
Mumbai,4871,3,1,1,7,Yes,Yes,2,Fully Furnished,Apartment,Low,75150000.0
Nellore,3644,5,2,1,9,Yes,Yes,0,Semi Furnished,Independent House,High,30447000.0
Bengaluru,742,5,1,4,15,Yes,Yes,1,Semi Furnished,Plot,Medium,8027000.0
Srikakulam,4585,1,3,1,22,No,Yes,3,Semi Furnished,Villa,Medium,31422000.0
Tirupati,670,2,3,2,23,Yes,Yes,1,Semi Furnished,Villa,High,7892000.0
Bengaluru,1152,5,2,4,10,Yes,Yes,1,Semi Furnished,Plot,High,13198000.0
Kadapa,4012,5,1,3,5,Yes,Yes,2,Unfurnished,Apartment,Low,19689000.0
Mumbai,1999,1,3,2,0,Yes,Yes,2,Semi Furnished,Apartment,Low,28861000.0
Kurnool,2599,2,2,4,29,Yes,Yes,0,Unfurnished,Independent House,Low,11997000.0
Chennai,2658,4,3,1,28,Yes,Yes,2,Fully Furnished,Villa,High,46218000.0
Delhi,2472,4,2,3,28,Yes,Yes,2,Unfurnished,Apartment,Medium,27591000.0
Srikakulam,4425,2,2,1,11,Yes,Yes,1,Semi Furnished,Plot,Medium,16619000.0
Kadapa,2758,3,4,2,24,Yes,Yes,3,Unfurnished,Plot,High,12082000.0
Hyderabad,4539,1,4,2,5,Yes,No,2,Semi Furnished,Plot,Low,31760000.0
Kadapa,2535,2,1,4,27,Yes,Yes,3,Unfurnished,Apartment,Medium,11837000.0
Mumbai,3771,4,4,2,12,Yes,Yes,2,Fully Furnished,Plot,Medium,47642000.0
Bengaluru,1357,5,2,3,25,No,Yes,2,Semi Furnished,Villa,Low,19307000.0
Bengaluru,4323,4,3,4,16,Yes,Yes,0,Semi Furnished,Apartment,Medium,50881000.0
Tirupati,1549,5,3,3,0,Yes,Yes,2,Unfurnished,Apartment,Low,12235000.0
Kadapa,4490,1,1,1,7,Yes,Yes,0,Unfurnished,Villa,Medium,28797000.0
Bengaluru,798,5,4,3,21,Yes,Yes,1,Unfurnished,Plot,Medium,7265000.0
Tirupati,1423,2,1,3,7,Yes,Yes,3,Unfurnished,Apartment,Medium,10715000.0
Hyderabad,4732,5,2,2,23,Yes,Yes,2,Unfurnished,Villa,Low,53348000.0
Vijayawada,4806,3,4,1,30,No,Yes,0,Semi Furnished,Villa,Medium,48387000.0
Chennai,3299,2,1,2,10,No,Yes,1,Fully Furnished,Independent House,Medium,39592000.0
Tirupati,4562,1,3,1,13,No,Yes,2,Unfurnished,Plot,Medium,21657000.0
Mumbai,4545,2,3,1,23,No,Yes,0,Semi Furnished,Plot,High,56963000.0
Chennai,2302,3,1,3,9,No,Yes,0,Fully Furnished,Villa,Medium,34506000.0
Bengaluru,3213,1,1,2,14,No,Yes,1,Fully Furnished,Apartment,Medium,40829000.0
Visakhapatnam,3353,4,1,3,6,Yes,No,2,Unfurnished,Independent House,Low,26138000.0
Rajahmundry,3157,3,2,3,6,Yes,Yes,2,Semi Furnished,Independent House,Low,20177000.0
Mumbai,3846,1,2,3,9,Yes,Yes,3,Semi Furnished,Apartment,High,68899000.0
Ongole,1971,5,3,1,3,Yes,Yes,2,Semi Furnished,Independent House,Low,13864000.0
Tirupati,3449,2,2,2,24,Yes,Yes,0,Semi Furnished,Apartment,Low,21179000.0
Delhi,1441,1,2,2,27,No,Yes,3,Semi Furnished,Independent House,Low,16442000.0
Vijayawada,2407,2,4,3,17,Yes,Yes,3,Fully Furnished,Apartment,High,24766000.0
Pune,1743,5,2,1,26,Yes,Yes,2,Fully Furnished,Villa,High,33136000.0
Hyderabad,4923,1,4,2,24,Yes,Yes,3,Fully Furnished,Villa,Medium,75063000.0
Tirupati,1966,4,2,4,9,Yes,Yes,0,Semi Furnished,Independent House,Medium,17039000.0
Kadapa,4457,3,3,2,18,Yes,Yes,0,Fully Furnished,Independent House,Low,25946000.0
Anantapur,2466,1,1,3,13,Yes,Yes,1,Fully Furnished,Villa,Medium,19999000.0
Srikakulam,875,5,3,4,12,Yes,Yes,0,Unfurnished,Plot,Medium,4648000.0
Ongole,762,1,2,1,14,Yes,Yes,1,Fully Furnished,Apartment,High,6254000.0
Anantapur,4862,2,1,4,15,Yes,Yes,3,Unfurnished,Plot,High,20323000.0
Hyderabad,3888,1,1,4,1,Yes,Yes,1,Semi Furnished,Independent House,Medium,43582000.0
Anantapur,3895,4,1,3,28,Yes,Yes,2,Semi Furnished,Villa,Medium,28094000.0
Pune,2444,1,4,2,3,Yes,Yes,1,Semi Furnished,Independent House,Medium,28831000.0
Ongole,2393,3,3,1,20,Yes,Yes,2,Semi Furnished,Plot,Low,9365000.0
Ongole,4134,1,4,4,17,Yes,Yes,3,Fully Furnished,Villa,High,43810000.0
Tirupati,2152,2,1,3,28,Yes,Yes,1,Unfurnished,Villa,Medium,18053000.0
Tirupati,4641,1,3,2,30,Yes,Yes,0,Semi Furnished,Villa,Medium,43487000.0
Anantapur,4392,4,3,4,16,Yes,Yes,2,Semi Furnished,Apartment,Low,22080000.0
Guntur,1099,5,2,3,9,Yes,Yes,3,Unfurnished,Independent House,High,10994000.0
Srikakulam,2412,1,4,3,26,No,Yes,0,Unfurnished,Plot,Low,6248000.0
Hyderabad,1792,1,4,3,20,Yes,Yes,2,Unfurnished,Apartment,Low,14894000.0
Ongole,1100,3,2,1,8,Yes,Yes,3,Unfurnished,Plot,Medium,5532000.0
Bengaluru,880,4,4,2,14,Yes,Yes,3,Unfurnished,Apartment,Low,9819000.0
Hyderabad,4713,5,1,4,27,Yes,Yes,0,Fully Furnished,Villa,Low,64989000.0
Kakinada,4137,2,1,2,11,Yes,Yes,3,Unfurnished,Apartment,Medium,24374000.0
Kakinada,2663,1,4,2,30,No,Yes,1,Fully Furnished,Independent House,High,23516000.0
Bengaluru,4855,5,2,4,20,No,Yes,3,Unfurnished,Independent House,Medium,55059000.0
Ongole,1598,2,3,2,27,Yes,Yes,2,Unfurnished,Plot,High,7300000.0
Ongole,865,4,4,1,26,No,Yes,2,Semi Furnished,Villa,Low,7000000.0
Rajahmundry,3070,4,3,4,25,Yes,Yes,2,Semi Furnished,Villa,Low,22902000.0
Mumbai,3919,5,2,4,8,Yes,Yes,1,Semi Furnished,Plot,Medium,44530000.0
Pune,2976,2,3,3,13,Yes,Yes,0,Semi Furnished,Independent House,Medium,35170000.0
Nellore,1290,4,2,2,12,Yes,Yes,1,Semi Furnished,Independent House,Medium,9708000.0
Tirupati,4069,5,2,4,27,Yes,Yes,1,Semi Furnished,Plot,Low,19882000.0
Delhi,1246,4,1,4,25,Yes,Yes,1,Unfurnished,Villa,Low,17349000.0
Tirupati,812,4,1,1,5,Yes,Yes,3,Unfurnished,Plot,High,6112000.0
Anantapur,1420,4,2,3,18,Yes,Yes,0,Semi Furnished,Plot,Medium,6159000.0
Ongole,1577,3,4,4,3,Yes,Yes,3,Semi Furnished,Apartment,Low,11674000.0
Delhi,3329,2,1,1,19,Yes,Yes,1,Semi Furnished,Plot,High,35378000.0
Tirupati,2881,5,2,4,16,Yes,Yes,2,Unfurnished,Independent House,Medium,22013000.0
Ongole,4118,5,3,4,18,Yes,No,1,Semi Furnished,Plot,Medium,18184000.0
Guntur,1297,2,3,4,2,Yes,Yes,0,Semi Furnished,Villa,High,15970000.0
Delhi,4943,2,4,1,28,No,Yes,2,Unfurnished,Villa,High,86635000.0
Nellore,772,2,3,2,13,Yes,Yes,0,Unfurnished,Independent House,High,6588000.0
Bengaluru,3510,2,3,4,16,No,Yes,1,Fully Furnished,Villa,Low,54455000.0
Pune,2273,1,2,4,12,Yes,Yes,0,Semi Furnished,Plot,Medium,17623000.0
Visakhapatnam,3047,5,3,2,8,Yes,Yes,3,Unfurnished,Independent House,Medium,27043000.0
Srikakulam,3664,1,3,4,26,No,Yes,2,Fully Furnished,Villa,High,31695000.0
Vijayawada,1446,4,3,3,0,Yes,Yes,0,Unfurnished,Plot,Low,8979000.0
Guntur,3165,4,3,4,24,Yes,No,2,Fully Furnished,Villa,High,37678000.0
Pune,1006,5,2,3,16,Yes,Yes,2,Fully Furnished,Apartment,Low,12146000.0
Mumbai,743,4,3,2,15,Yes,Yes,1,Semi Furnished,Villa,Medium,16251000.0
Nellore,1005,2,4,1,17,Yes,Yes,1,Semi Furnished,Independent House,Medium,7396000.0
Bengaluru,3658,1,1,2,1,Yes,Yes,2,Fully Furnished,Plot,Low,31862000.0
Visakhapatnam,4090,2,4,4,13,No,Yes,0,Semi Furnished,Plot,Medium,25516000.0
Anantapur,2372,4,1,3,21,Yes,Yes,2,Unfurnished,Independent House,Medium,13206000.0
Kadapa,4293,1,4,1,22,Yes,Yes,1,Unfurnished,Apartment,High,24191000.0
Ongole,1692,2,1,4,26,No,Yes,0,Fully Furnished,Plot,Low,6027000.0
Kakinada,4925,5,1,1,16,Yes,Yes,2,Fully Furnished,Independent House,Medium,39387000.0
Chennai,1964,2,1,1,2,Yes,Yes,1,Unfurnished,Villa,Medium,24249000.0
Hyderabad,890,4,1,4,1,Yes,Yes,2,Unfurnished,Apartment,Low,10879000.0
Vijayawada,4976,1,2,2,7,Yes,Yes,2,Fully Furnished,Independent House,Medium,46037000.0
Visakhapatnam,3877,5,4,4,24,Yes,Yes,2,Unfurnished,Villa,Low,36347000.0
Anantapur,1172,1,1,4,28,Yes,Yes,0,Unfurnished,Plot,Low,1936000.0
Delhi,3060,5,4,2,1,Yes,Yes,1,Fully Furnished,Plot,High,39584000.0
Visakhapatnam,1711,1,3,3,1,No,Yes,1,Semi Furnished,Apartment,Low,14121000.0
Ongole,1429,4,1,4,25,No,Yes,3,Unfurnished,Villa,High,12161000.0
Anantapur,2039,5,4,1,30,Yes,Yes,2,Semi Furnished,Independent House,Medium,12462000.0
Kakinada,1412,3,2,4,8,No,Yes,2,Semi Furnished,Plot,Low,7396000.0
Pune,1143,1,4,4,29,Yes,Yes,3,Unfurnished,Independent House,High,13396000.0
Kadapa,1001,1,1,1,19,Yes,Yes,2,Semi Furnished,Independent House,Low,4588000.0
Anantapur,1229,2,3,2,20,Yes,Yes,0,Fully Furnished,Independent House,Medium,8677000.0
Chennai,1783,5,4,3,28,Yes,Yes,3,Unfurnished,Apartment,High,19573000.0
Tirupati,2618,3,3,3,26,No,No,1,Unfurnished,Independent House,High,22180000.0
Kurnool,4886,4,2,1,24,Yes,Yes,2,Semi Furnished,Apartment,High,32286000.0
Ongole,4336,2,4,2,5,Yes,Yes,1,Unfurnished,Apartment,Medium,24752000.0
Anantapur,1419,3,4,4,25,Yes,Yes,2,Unfurnished,Villa,High,12074000.0
Hyderabad,4550,5,2,4,11,Yes,Yes,3,Semi Furnished,Plot,Medium,34848000.0
Chennai,2839,3,2,4,24,Yes,Yes,1,Semi Furnished,Independent House,Medium,29742000.0
Tirupati,1255,1,2,4,8,No,Yes,2,Unfurnished,Villa,Low,10485000.0
Rajahmundry,2369,1,1,4,6,No,Yes,0,Unfurnished,Villa,Medium,17312000.0
Nellore,4972,2,1,1,29,Yes,Yes,3,Fully Furnished,Villa,High,53743000.0
Guntur,1007,5,4,4,11,Yes,Yes,2,Fully Furnished,Villa,High,14478000.0
Tirupati,1936,5,4,4,25,Yes,Yes,2,Unfurnished,Villa,Medium,18576000.0
Visakhapatnam,3075,3,4,2,24,No,Yes,2,Unfurnished,Independent House,Medium,24778000.0
Kakinada,3926,2,3,4,4,Yes,Yes,3,Fully Furnished,Villa,Low,36254000.0
Rajahmundry,1058,5,2,3,15,Yes,Yes,2,Semi Furnished,Plot,Low,6268000.0
Guntur,3602,1,4,1,4,No,Yes,2,Unfurnished,Apartment,High,26586000.0
Kurnool,4122,3,2,1,11,Yes,Yes,1,Fully Furnished,Apartment,Medium,27305000.0
Kakinada,4899,4,1,1,23,Yes,Yes,1,Fully Furnished,Plot,High,29910000.0
Anantapur,4557,1,2,3,25,Yes,Yes,3,Unfurnished,Independent House,Medium,22375000.0
Tirupati,4215,2,3,4,19,Yes,Yes,3,Unfurnished,Apartment,High,33025000.0
Hyderabad,1801,5,3,1,8,Yes,Yes,0,Fully Furnished,Plot,High,20310000.0
Pune,2655,1,2,3,22,Yes,Yes,2,Unfurnished,Plot,High,21252000.0
Vijayawada,1192,4,3,2,6,Yes,Yes,1,Semi Furnished,Villa,Medium,14768000.0
Nellore,4850,4,3,4,28,Yes,Yes,1,Unfurnished,Apartment,Low,24852000.0
Srikakulam,1978,2,1,3,30,No,Yes,2,Fully Furnished,Villa,Low,12876000.0
Rajahmundry,756,1,4,4,18,Yes,Yes,2,Fully Furnished,Independent House,Medium,6686000.0
Kurnool,2930,3,3,2,19,No,Yes,3,Unfurnished,Apartment,Low,13725000.0
Rajahmundry,941,1,4,3,22,Yes,Yes,0,Fully Furnished,Apartment,High,7342000.0
Delhi,2381,4,2,4,10,Yes,Yes,0,Semi Furnished,Plot,Medium,23161000.0
Visakhapatnam,3146,2,2,3,26,Yes,Yes,3,Unfurnished,Apartment,Medium,23214000.0
Srikakulam,4320,2,3,1,29,Yes,Yes,3,Unfurnished,Independent House,Low,17806000.0
Visakhapatnam,2235,3,2,4,20,Yes,Yes,1,Fully Furnished,Independent House,Low,20381000.0
Kurnool,4235,2,1,3,11,Yes,Yes,3,Semi Furnished,Apartment,High,27896000.0
Vijayawada,3145,2,3,1,2,Yes,No,0,Unfurnished,Plot,Medium,16831000.0
Srikakulam,518,2,3,2,16,Yes,Yes,1,Fully Furnished,Independent House,Low,4150000.0
Vijayawada,1624,2,3,4,6,No,Yes,0,Unfurnished,Villa,Medium,16021000.0
Kurnool,4485,2,2,4,21,Yes,Yes,2,Semi Furnished,Independent House,High,31819000.0
Pune,3154,4,2,2,9,Yes,Yes,0,Fully Furnished,Apartment,High,45262000.0
Visakhapatnam,2580,1,3,1,30,Yes,Yes,1,Unfurnished,Villa,High,29372000.0
Vijayawada,2047,5,4,2,22,Yes,Yes,0,Fully Furnished,Apartment,Medium,18832000.0
Rajahmundry,1361,2,2,4,14,No,Yes,1,Fully Furnished,Apartment,Medium,9748000.0
Srikakulam,654,5,2,3,29,Yes,Yes,1,Semi Furnished,Apartment,Medium,3965000.0
Tirupati,3994,5,3,1,1,Yes,Yes,3,Semi Furnished,Plot,Medium,23925000.0
Nellore,1404,4,4,1,12,Yes,Yes,0,Unfurnished,Plot,Medium,7162000.0
Hyderabad,1769,2,3,1,27,No,Yes,3,Fully Furnished,Independent House,High,24366000.0
Bengaluru,904,5,2,2,3,Yes,Yes,3,Fully Furnished,Apartment,High,16146000.0
Mumbai,1343,2,3,2,17,Yes,Yes,0,Fully Furnished,Villa,High,36836000.0
Ongole,2282,3,3,3,23,Yes,Yes,1,Unfurnished,Villa,Low,15588000.0
Mumbai,2064,3,3,3,22,Yes,Yes,2,Semi Furnished,Villa,High,49853000.0
Srikakulam,1684,3,4,1,0,Yes,Yes,0,Semi Furnished,Plot,Medium,9157000.0
Pune,1246,5,3,3,1,No,Yes,3,Fully Furnished,Plot,High,15397000.0
Mumbai,2225,3,2,2,1,No,Yes,3,Unfurnished,Apartment,Low,29166000.0
Srikakulam,3688,4,3,3,3,Yes,Yes,1,Fully Furnished,Villa,Low,27919000.0
Rajahmundry,770,4,4,2,2,Yes,Yes,3,Semi Furnished,Villa,Low,9060000.0
Visakhapatnam,4456,5,1,3,16,Yes,Yes,2,Fully Furnished,Plot,Low,27523000.0
Mumbai,671,2,4,4,27,Yes,Yes,3,Fully Furnished,Plot,Low,7368000.0
Hyderabad,773,1,3,2,13,Yes,Yes,1,Fully Furnished,Villa,Medium,12412000.0
Rajahmundry,2806,2,1,4,1,Yes,Yes,0,Semi Furnished,Villa,High,28706000.0
Nellore,1658,2,3,2,15,No,Yes,1,Unfurnished,Independent House,Medium,10549000.0
Rajahmundry,2206,2,4,3,10,Yes,Yes,3,Fully Furnished,Plot,Medium,12284000.0
Srikakulam,2271,2,1,4,24,No,No,1,Semi Furnished,Apartment,Low,9418000.0
Guntur,921,1,1,3,12,Yes,Yes,3,Fully Furnished,Apartment,High,7851000.0
Kurnool,1709,3,3,2,0,Yes,Yes,1,Unfurnished,Villa,High,15868000.0
Delhi,1390,2,3,4,24,Yes,Yes,0,Fully Furnished,Plot,High,16401000.0
Rajahmundry,3767,4,4,1,22,No,Yes,3,Unfurnished,Apartment,Low,19380000.0
Anantapur,1973,5,3,3,1,Yes,Yes,2,Semi Furnished,Plot,Medium,10483000.0
Guntur,3743,5,1,2,1,No,Yes,2,Unfurnished,Villa,High,37565000.0
Mumbai,4978,4,2,4,20,No,Yes,2,Unfurnished,Villa,Medium,91094000.0
Srikakulam,2681,2,2,3,28,Yes,Yes,2,Semi Furnished,Villa,High,21063000.0
Kurnool,1949,1,4,4,4,Yes,Yes,3,Unfurnished,Plot,High,10791000.0
Vijayawada,3596,3,3,3,3,No,Yes,3,Unfurnished,Apartment,High,29970000.0
Chennai,3756,5,4,3,11,Yes,Yes,0,Semi Furnished,Independent House,High,48710000.0
Tirupati,3656,3,2,3,25,Yes,Yes,1,Unfurnished,Apartment,Low,21300000.0
Guntur,2090,1,2,4,25,Yes,No,3,Unfurnished,Plot,Low,7551000.0
Delhi,4739,5,3,4,28,No,Yes,2,Fully Furnished,Apartment,Medium,65714000.0
Hyderabad,4481,3,1,3,27,Yes,Yes,3,Unfurnished,Independent House,Low,39201000.0
Vijayawada,1935,1,3,1,2,No,Yes,2,Unfurnished,Apartment,High,17036000.0
Kakinada,723,3,2,1,19,Yes,Yes,0,Unfurnished,Independent House,Medium,4380000.0
Vijayawada,719,2,1,1,9,Yes,Yes,1,Semi Furnished,Plot,Medium,4958000.0
Kakinada,4774,1,4,2,19,Yes,Yes,3,Unfurnished,Villa,Medium,37228000.0
Guntur,2154,3,2,1,17,Yes,Yes,1,Semi Furnished,Independent House,High,17777000.0
Kadapa,764,2,4,4,20,No,Yes,2,Semi Furnished,Plot,High,4342000.0
Visakhapatnam,1453,2,1,1,30,No,No,2,Unfurnished,Villa,Medium,13002000.0
Tirupati,4233,1,4,4,20,No,Yes,1,Unfurnished,Independent House,Low,26194000.0
